SampleID	SSPOOL	specimen_id	Pools
MADH038_ANG-R2053_8071088769_A52_S207	SSPOOL6	AN003P188	A52
MADH033_ANG-R1999_8071088599_A52_S17	SSPOOL5	AN003P189	A52
MADH033_ANG-R1983_8071121799_A52_S1	SSPOOL5	AN003P190	A52
MADH033_ANG-R1996_8071088250_A52_S14	SSPOOL5	AN003P191	A52
MADH033_ANG-R2030_8071121848_A52_S48	SSPOOL5	AN003P194	A52
MADH033_ANG-R2013_8071122562_A52_S31	SSPOOL5	AN003P196	A52
MADH033_ANG-R2022_8071087994_A52_S40	SSPOOL5	AN003P201	A52
MADH033_ANG-R2031_8071087916_A52_S49	SSPOOL5	AN003P207	A52
MADH033_ANG-R1987_8071087899_A52_S5	SSPOOL5	AN003P208	A52
MADH033_ANG-R2033_8071088734_A52_S51	SSPOOL5	AN003P214	A52
MADH033_ANG-R2023_8071088829_A52_S41	SSPOOL5	AN003P216	A52
MADH033_ANG-R2026_8071121860_A52_S44	SSPOOL5	AN003P217	A52
MADH033_ANG-R2040_8071121702_A52_S58	SSPOOL5	AN003P219	A52
MADH033_ANG-R2021_8071088784_A52_S39	SSPOOL5	AN003P220	A52
MADH033_ANG-R1984_8071088187_A52_S2	SSPOOL5	AN003P222	A52
MADH033_ANG-R2017_8071088262_A52_S35	SSPOOL5	AN003P223	A52
MADH053_ANG-R2181_8071120553_A52_S124	SSPOOL10	AN004P016	A52
MADH040_ANG-R1608_8071097051_A52_S1	SSPOOL7	AN007P017	A52
MADH040_ANG-R1677_8071096712_A52_S2	SSPOOL7	AN007P020	A52
MADH126_ANG-R1610_8071097151_A52_S225	SSPOOL27	AN007P033	A52
MADH040_ANG-R1685_8071097165_A52_S6	SSPOOL7	AN007P052	A52
MADH040_ANG-R1682_8071096872_A52_S7	SSPOOL7	AN007P053	A52
MADH040_ANG-R1631_8071096542_A52_S52	SSPOOL26	AN007P061	A52
MADH040_ANG-R1631_8071096542_A52_S10	SSPOOL7	AN007P061	A52
MADH040_ANG-R1667_8071096632_A52_S12	SSPOOL7	AN007P076	A52
MADH040_ANG-R1686_8071096785_A52_S13	SSPOOL7	AN007P081	A52
MADH040_ANG-R1650_8071097301_A52_S15	SSPOOL7	AN007P087	A52
MADH040_ANG-R1684_8071096965_A52_S16	SSPOOL7	AN007P089	A52
MADH040_ANG-R1602_8071097266_A52_S21	SSPOOL7	AN007P102	A52
MADH040_ANG-R1605_8071097325_A52_S22	SSPOOL7	AN007P107	A52
MADH040_ANG-R1590_8071096959_A52_S24	SSPOOL7	AN007P117	A52
